FIRST GSM-2_2023001-2023031_GRFO_CNESG_TSVD_0500.txt SHM     CNES / GRGS  20230619
EARTH 0.3986004415E+15 0.6378136460E+07
SHM      90   90 1.00 fully normalized exclusive permanent tide (Tide free)
CMMNT Parameter uncertainties: calibrated (Sigma calibration factor =  1.00)
CMMNT SH normalization: fully normalized
CMMNT Tide convention: exclusive permanent tide (Tide free)
GRCOF2    0    0 0.100000000000E+01 0.000000000000E+00 0.0000E+00 0.0000E+00 20230101.0000 20230201.0000 ynnn
GRCOF2    1    0 0.321662058100E-09 0.000000000000E+00 0.0000E+00 0.0000E+00 20230101.0000 20230201.0000 ynnn
GRCOF2    1    1 0.662204943658E-10 0.571947877948E-09 0.0000E+00 0.0000E+00 20230101.0000 20230201.0000 yynn
GRCOF2    2    0 -.484165560920E-03 0.000000000000E+00 0.0000E+00 0.0000E+00 20230101.0000 20230201.0000 ynnn
GRCOF2    2    1 -.533902200228E-09 0.151726342601E-08 0.0000E+00 0.0000E+00 20230101.0000 20230201.0000 yynn
GRCOF2    2    2 0.243945510192E-05 -.140036365792E-05 0.0000E+00 0.0000E+00 20230101.0000 20230201.0000 yynn
GRCOF2    3    0 0.957146717919E-06 0.000000000000E+00 1.5441E-13 0.0000E+00 20230101.0000 20230201.0000 ynyn
GRCOF2    3    1 0.203034628457E-05 0.248285171820E-06 2.9844E-13 2.8207E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    3    2 0.904715043747E-06 -.619088862447E-06 2.7454E-14 3.2407E-14 20230101.0000 20230201.0000 yyyy
GRCOF2    3    3 0.721362251719E-06 0.141447605563E-05 2.2578E-14 2.1907E-14 20230101.0000 20230201.0000 yyyy
GRCOF2    4    0 0.539946215617E-06 0.000000000000E+00 1.7957E-13 0.0000E+00 20230101.0000 20230201.0000 ynyn
GRCOF2    4    1 -.536340491273E-06 -.473607387974E-06 1.9323E-13 2.0208E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    4    2 0.350456236701E-06 0.662446473915E-06 2.7931E-13 2.7487E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    4    3 0.990865757720E-06 -.200880098265E-06 1.3446E-13 1.3114E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    4    4 -.188520922751E-06 0.308855177261E-06 7.5320E-14 7.3479E-14 20230101.0000 20230201.0000 yyyy
GRCOF2    5    0 0.685560298395E-07 0.000000000000E+00 1.4252E-13 0.0000E+00 20230101.0000 20230201.0000 ynyn
GRCOF2    5    1 -.628798384366E-07 -.941483615944E-07 1.5279E-13 1.5244E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    5    2 0.651936361257E-06 -.323324262888E-06 2.0527E-13 2.0491E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    5    3 -.451819611751E-06 -.214904057654E-06 1.4676E-13 1.4692E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    5    4 -.295293154000E-06 0.498720191718E-07 1.1564E-13 1.1511E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    5    5 0.174787529796E-06 -.669360808515E-06 4.7235E-14 4.6864E-14 20230101.0000 20230201.0000 yyyy
GRCOF2    6    0 -.150082238155E-06 0.000000000000E+00 9.8242E-14 0.0000E+00 20230101.0000 20230201.0000 ynyn
GRCOF2    6    1 -.760512693547E-07 0.265451026061E-07 1.3097E-13 1.2903E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    6    2 0.486129642687E-07 -.373691920799E-06 1.6992E-13 1.7002E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    6    3 0.572700623667E-07 0.909302738880E-08 1.9338E-13 1.9814E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    6    4 -.859551800649E-07 -.471428516388E-06 2.5594E-13 2.5511E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    6    5 -.267131706784E-06 -.536489246679E-06 1.4128E-13 1.4129E-13 20230101.0000 20230201.0000 yyyy
GRCOF2    6    6 0.947348388267E-08 -.237354403098E-06 5.1793E-14 5.0971E-14 20230101.0000 20230201.0000 yyyy
